ENTRADA,PH,ORP,COND,TEMP,STATUSREC,STATUSDRE,STATUSDOS,ALARMREC,ALARMDRE
07/06/2022 09:35:57,765,232,1323,0,1,0,0,0,0
07/06/2022 09:40:57,768,228,1323,0,1,0,0,0,0
07/06/2022 09:45:57,757,234,1288,0,1,0,0,0,0
07/06/2022 09:50:57,739,238,1243,0,1,0,0,0,0
07/06/2022 09:55:57,726,236,1193,0,1,0,0,0,0
07/06/2022 10:00:57,739,228,1193,0,1,0,0,0,0
07/06/2022 10:05:57,729,242,1188,0,1,0,0,0,0
07/06/2022 10:10:57,733,234,1188,0,1,0,0,0,0
07/06/2022 10:15:57,726,244,1198,0,1,0,0,0,0
07/06/2022 10:20:57,726,238,1198,0,1,0,0,0,0
07/06/2022 10:25:57,728,224,1163,0,1,0,0,0,0
07/06/2022 10:30:57,726,234,1188,0,1,0,0,0,0
07/06/2022 10:35:57,741,202,1193,0,1,0,0,0,0
07/06/2022 10:40:57,735,212,1173,0,1,0,0,0,0
07/06/2022 10:45:57,726,218,1198,0,1,0,0,0,0
07/06/2022 10:50:57,738,218,1188,0,1,0,0,0,0
07/06/2022 10:55:57,733,208,1188,0,1,0,0,0,0
07/06/2022 11:00:57,755,214,1213,0,1,0,0,0,0
07/06/2022 11:05:57,738,226,1198,0,1,0,0,0,0
07/06/2022 11:10:57,739,228,1223,0,1,0,0,0,0
07/06/2022 11:15:57,735,228,1223,0,1,0,0,0,0
07/06/2022 11:20:57,752,214,1213,0,1,0,0,0,0
07/06/2022 11:25:57,742,232,1223,0,1,0,0,0,0
07/06/2022 11:30:57,735,234,1213,0,1,0,0,0,0
07/06/2022 11:35:57,735,228,1223,0,1,0,0,0,0
07/06/2022 11:40:57,754,214,1213,0,1,0,0,0,0
07/06/2022 11:45:57,752,214,1208,0,1,0,0,0,0
07/06/2022 11:50:57,735,228,1213,0,1,0,0,0,0
07/06/2022 11:55:57,751,226,1213,0,1,0,0,0,0
07/06/2022 12:00:57,754,216,1208,0,1,0,0,0,0
07/06/2022 12:05:57,751,214,1198,0,1,0,0,0,0
07/06/2022 12:10:57,739,228,1218,0,1,0,0,0,0
07/06/2022 12:15:57,746,224,1213,0,1,0,0,0,0
07/06/2022 12:20:57,754,214,1198,0,1,0,0,0,0
07/06/2022 12:25:57,747,218,1208,0,1,0,0,0,0
07/06/2022 12:30:57,742,218,1213,0,1,0,0,0,0
07/06/2022 12:35:57,735,228,1208,0,1,0,0,0,0
07/06/2022 12:40:57,735,228,1208,0,1,0,0,0,0
07/06/2022 12:45:57,744,224,1208,0,1,0,0,0,0
07/06/2022 12:50:57,752,218,1213,0,1,0,0,0,0
07/06/2022 12:55:57,741,224,1198,0,1,0,0,0,0
07/06/2022 13:00:57,754,218,1198,0,1,0,0,0,0
07/06/2022 13:05:57,752,214,1208,0,1,0,0,0,0
07/06/2022 13:10:57,735,228,1213,0,1,0,0,0,0
07/06/2022 13:15:57,739,224,1198,0,1,0,0,0,0
07/06/2022 13:20:57,748,222,1208,0,1,0,0,0,0
07/06/2022 13:25:57,738,228,1208,0,1,0,0,0,0
07/06/2022 13:30:57,748,226,1193,0,1,0,0,0,0
07/06/2022 13:35:57,752,224,1273,0,1,0,0,0,0
07/06/2022 13:40:57,772,218,1278,0,1,0,0,0,0
07/06/2022 13:45:57,765,208,1273,0,1,0,0,0,0
07/06/2022 13:50:57,759,222,1293,0,1,0,0,0,0
07/06/2022 13:55:57,774,208,1328,0,1,0,1,0,0
07/06/2022 14:00:57,721,224,1338,0,1,0,0,0,0
07/06/2022 14:05:57,773,208,1328,0,1,0,0,0,0
07/06/2022 14:10:57,757,218,1348,0,1,0,0,0,0
07/06/2022 14:15:57,760,218,1348,0,1,0,0,0,0
07/06/2022 14:20:57,761,222,1368,0,1,0,1,0,0
07/06/2022 14:25:57,770,214,1363,0,1,0,0,0,0
07/06/2022 14:30:57,768,216,1373,0,1,0,0,0,0
07/06/2022 14:35:57,759,224,1388,0,1,0,0,0,0
07/06/2022 14:40:57,777,208,1388,0,1,0,0,0,0
07/06/2022 14:45:57,777,214,1403,0,1,0,0,0,0
07/06/2022 14:50:57,767,222,1398,0,1,0,0,0,0
07/06/2022 14:55:57,774,208,1413,0,1,0,0,0,0
07/06/2022 15:00:57,773,214,1413,0,1,0,0,0,0
07/06/2022 15:05:57,757,226,1418,0,1,0,0,0,0
07/06/2022 15:10:57,767,218,1428,0,1,0,0,0,0
07/06/2022 15:15:57,774,208,1423,0,1,1,0,0,0
07/06/2022 15:20:57,765,224,1438,0,1,1,0,0,0
07/06/2022 15:25:57,773,212,1428,0,1,1,0,0,0
07/06/2022 15:30:57,772,212,1443,0,1,1,0,0,0
07/06/2022 15:35:57,759,224,1423,0,1,1,0,0,0
07/06/2022 15:40:57,755,228,1418,0,1,1,0,0,0
07/06/2022 15:45:57,757,228,1398,0,1,1,0,0,0
07/06/2022 15:50:57,754,228,1398,0,1,1,0,0,0
07/06/2022 15:55:57,755,232,1373,0,1,1,0,0,0
07/06/2022 16:00:57,752,234,1373,0,1,1,0,0,0
07/06/2022 16:05:57,755,234,1378,0,1,1,0,0,0
07/06/2022 16:10:57,773,216,1363,0,1,1,0,0,0
07/06/2022 16:15:57,765,222,1373,0,1,1,0,0,0
07/06/2022 16:20:57,757,232,1348,0,1,1,0,0,0
07/06/2022 16:25:57,765,218,1363,0,1,1,0,0,0
07/06/2022 16:30:57,765,226,1328,0,1,1,0,0,0
07/06/2022 16:35:57,768,228,1338,0,1,1,0,0,0
07/06/2022 16:40:57,755,234,1348,0,1,1,0,0,0
07/06/2022 16:45:57,755,236,1318,0,1,1,0,0,0
07/06/2022 16:50:57,770,222,1303,0,1,1,0,0,0
07/06/2022 16:55:57,768,224,1298,0,1,1,0,0,0
07/06/2022 17:00:57,760,226,1303,0,1,1,0,0,0
07/06/2022 17:05:57,757,234,1293,0,1,1,0,0,0
07/06/2022 17:10:57,752,242,1208,0,1,1,0,0,0
07/06/2022 17:15:57,752,238,1213,0,1,1,0,0,0
07/06/2022 17:20:57,760,202,1188,0,1,1,0,0,0
07/06/2022 17:25:57,747,224,1163,0,1,1,0,0,0
07/06/2022 17:30:57,748,208,1173,0,1,1,0,0,0
07/06/2022 17:35:57,738,228,1138,0,1,1,0,0,0
07/06/2022 17:40:57,752,218,1138,0,1,0,0,0,0
07/06/2022 17:45:57,738,234,1133,0,1,0,0,0,0
07/06/2022 17:50:57,729,228,1088,0,1,0,0,0,0
07/06/2022 17:55:57,707,242,1073,0,1,0,0,0,0
07/06/2022 18:00:57,712,242,1073,0,1,0,0,0,0
07/06/2022 18:05:57,722,238,1093,0,1,0,0,0,0
07/06/2022 18:10:57,721,226,1063,0,1,0,0,0,0
07/06/2022 18:15:57,712,228,1063,0,1,0,0,0,0
07/06/2022 18:20:57,699,228,1038,0,1,0,0,0,0
07/06/2022 18:25:57,700,226,1018,0,1,0,0,0,0
07/06/2022 18:30:57,694,226,999,0,1,0,0,0,0
07/06/2022 18:35:57,699,226,1033,0,1,0,0,0,0
07/06/2022 18:40:57,687,238,1023,0,1,0,0,0,0
07/06/2022 18:45:57,700,232,1018,0,1,0,0,0,0
07/06/2022 18:50:57,703,226,1033,0,1,0,0,0,0
07/06/2022 18:55:57,682,236,1023,0,1,0,0,0,0
07/06/2022 19:00:57,682,236,1018,0,1,0,0,0,0
07/06/2022 19:05:57,692,234,1018,0,1,0,0,0,0
07/06/2022 19:10:57,709,224,1033,0,1,0,0,0,0
07/06/2022 19:15:57,707,218,1038,0,1,0,0,0,0
07/06/2022 19:20:57,708,218,1013,0,1,0,0,0,0
07/06/2022 19:25:57,694,222,1018,0,1,0,0,0,0
07/06/2022 19:30:57,690,228,1023,0,1,0,0,0,0
07/06/2022 19:35:57,708,212,1038,0,1,0,0,0,0
07/06/2022 19:40:57,713,218,1038,0,1,0,0,0,0
07/06/2022 19:45:57,696,228,1043,0,1,0,0,0,0
07/06/2022 19:50:57,712,216,1043,0,1,0,0,0,0
07/06/2022 19:55:57,696,224,1038,0,1,0,0,0,0
07/06/2022 20:00:57,694,228,1038,0,1,0,0,0,0
07/06/2022 20:05:57,694,226,1038,0,1,0,0,0,0
07/06/2022 20:10:57,712,212,1038,0,1,0,0,0,0
07/06/2022 20:15:57,700,222,1023,0,1,0,0,0,0
07/06/2022 20:20:57,694,224,1033,0,1,0,0,0,0
07/06/2022 20:25:57,707,208,1033,0,1,0,0,0,0
07/06/2022 20:30:57,708,216,1043,0,1,0,0,0,0
07/06/2022 20:35:57,709,208,1043,0,1,0,0,0,0
07/06/2022 20:40:57,702,218,1038,0,1,0,0,0,0
07/06/2022 20:45:57,694,224,1023,0,1,0,0,0,0
07/06/2022 20:50:57,694,222,1023,0,1,0,0,0,0
07/06/2022 20:55:57,702,222,1033,0,1,0,0,0,0
07/06/2022 21:00:57,708,206,1038,0,1,0,0,0,0
07/06/2022 21:05:57,700,214,1038,0,1,0,0,0,0
07/06/2022 21:10:57,708,204,1023,0,1,0,0,0,0
07/06/2022 21:15:57,700,214,1033,0,1,0,0,0,0
07/06/2022 21:20:57,695,208,1033,0,1,0,0,0,0
07/06/2022 21:25:57,696,214,1038,0,1,0,0,0,0
07/06/2022 21:30:57,708,204,1038,0,1,0,0,0,0
07/06/2022 21:35:57,703,202,1023,0,1,0,0,0,0
07/06/2022 21:40:57,690,214,1018,0,1,0,0,0,0
07/06/2022 21:45:57,702,212,1038,0,1,0,0,0,0
07/06/2022 21:50:57,708,198,1033,0,1,0,0,0,0
07/06/2022 21:55:57,708,196,1038,0,1,0,0,0,0
07/06/2022 22:00:57,708,198,1023,0,1,0,0,0,0
07/06/2022 22:05:57,694,214,1033,0,1,0,0,0,0
07/06/2022 22:10:57,690,212,1033,0,1,0,0,0,0
07/06/2022 22:15:57,696,212,1018,0,1,0,0,0,0
07/06/2022 22:20:57,696,212,1023,0,1,0,0,0,0
07/06/2022 22:25:57,690,212,1023,0,1,0,0,0,0
07/06/2022 22:30:57,703,198,1023,0,1,0,0,0,0
07/06/2022 22:35:57,690,212,1033,0,1,0,0,0,0
07/06/2022 22:40:57,707,196,1023,0,1,0,0,0,0
